Username	Answer
ckubly	"I like how in class we are encouraged to collaborate with the people around us. The only thing I would recommend is to discuss the homework and projects a bit more. I get leaving it up to our interpretation to see what we do with the assignment, but a little direction might yield better outcomes."
tkukrej	"I really liked this course, it has an interactive way of teaching us. I liked that we are using AI in this course that will help us in the real world. I also liked the concept of creating videos each week, as teaching someone really helps in learning."
kuper	I really enjoy the way this course is being taught. This course is very intriguing to me. It is super interactive and the way it is teaching you how to prompt AI. I don't have any negative feedback for this course and I really enjoy the material we are learning.
ajkurtz	I feel as if the AI integration is very helpful for the most part. But sometimes I think just using a powerpoint to explain key terms and formulas that we need to know would be helpful at times.
kwon273	"Good thing of this course is there is no textbook fee. Even though I do not need to pay for it, there are a lot of information about financial thing. Also, I can keep focusing on the class because professor keeps asking student questions. It was little bit pressure in the beginning of this semester, but it helped me a lot to concentrate what professor says. One bad thing I want to tell you is I sometimes miss what he talks about. If he go with the textbook in class, it would be much better to understand and follow what he says."
lee4972	"So far, I am happy with it; the teaching is good, and I am actually learning a lot!  I sometimes wish, though, that I had a better understanding of what we are supposed to be doing in class, because we move quickly. If there were just a clear topic that you wanted us to discuss during a class, I wish you could clarify it.  But besides that, I think you are doing good and I am really excited for the rest of this semester"
lee4991	Good:  - I like how engaging the course is. The lectures are interesting and lively given the topic and an enjoyable experience. - I like the topics of our assignments and the course. Bad: - More structure or clearers instructions on our assignments.  - Feedback received in a timely manner (before the next assignment) to make sure we don't make the same mistake twice.  - Clearer due dates WishList:  - More examples of what's expected in the videos/projects Other feedback: - I've really enjoyed the course so far and its relation to AI!
alenig	"I'm not a huge fan of the assignment videos we do and the way they incorporate ai. I feel like it hurts learning the actual content we have, and even though learning how to prompt and use ai to our advantage is important, I don't feel like this is the best way. I am personally more of a fan of using homework assignments to learn, and then testing that knowledge on an exam. That being said, I do at least think introducing us to something like colab is good. Learning how to use ai to your advantage is very useful. I also wish there was a little more instructions on the assignment videos, as sometimes I'm not really sure what I'm supposed to be covering."
eliban	"I think that the course offers something new in terms of being able to do financial management with Python; however, I would appreciate it if there were readings prior to or after the class. I sometimes cannot follow a few terms or processes because they are not directly stated within the textbook or lack in-depth explanations in the textbook (the one we use in class). I do appreciate the format of the homework and your providing the recordings of each class."
liu4182	"One of the things I really appreciated about this course is how it integrates traditional topics like economics and accounting with modern technologies like artificial intelligence. This combination is not only intellectually engaging, but also highly relevant to the direction of future economic development in the digital age. However, I did find that some of the assignments were a bit difficult to approach at first. At times, it felt unclear where or how to begin. It would be helpful if we could have a bit more guidance before starting each assignment—perhaps a short example, outline, or clarification of expectations. Alternatively, seeing an example after we've submitted the assignment would also be valuable for learning and improvement. Overall, I found the course content forward-looking and meaningful, and I believe it has the potential to become even more impactful with a few small adjustments to the assignment process."
liu4186	"Good: The professor explained the key points very clearly. Bad: The project and assignments were a bit difficult. It felt like I was taught arithmetic in class, and then the homework asked me to come up with practical application questions myself. When writing assignments and projects, I feel overwhelmed and need to think carefully, which takes a long time to complete. I hope the professor can provide more guidance and teaching on mini projects. The assignment does not need to be explained, as it is quite clear in the textbook."
lopez613	The class is thorough and interesting. So far so good.
lyu147	"I think you are very fun and explain the concepts pretty well, I love the assignment format, and I can't really think of anything bad to say. Maybe one area of potential improvement for this class would perhaps be covering some of the key techniques we'll need to complete the assignment. The assignment sometimes requires techniques not covered before, and I'm not really sure whether I did them right:( Overall, I love this class so far, although I initially thought it would be challenging, you helped me understand everything so far and I feel that I've been doing pretty well."
cmainvil	This course has been insightful for seeing how my career is developing in real time. I appreciate the lengths you go to make sure we all are kept up and learning the right things for our future.
amandhad	"Overall, I really like this class. We learn a lot of new important financial concepts and I love how we use AI to enhance our learning and applications. If I had to change one thing, I feel like I'm always scared I'll randomly be picked on when I don't have an answer. I tend to enjoy listening and absorbing knowledge, and I am happy to questions if I know the answer but otherwise I don't enjoy being put on the spot. I also think that I enjoy lectures more when I hear the teacher speaking as he is very informative and engaging. When other people answer sometimes they answer correctly but many times it's wrong so it also get's confusing. Overall, I like the class and assignments very much. I feel like I've learned so much."
mangal2	"I like the way the course is designed in terms of the ability to use AI and videos to kind of present my understanding and learning. I think one thing that I believe would help might be some sort of summary sheet/review sheet of each weeks learning, like a doc each week that kind of summarizes the concepts we covered each week and why they are important."
amanick	- I would like to learn more about the code rather than using 100% ai. I feel like i dont know much about the actual financial management tools we are supposed to learn.
marsh86	"So far for me I am having a hard time understanding the material. I took both accounting and Econ classes prior to this but my mind has never really worked that way and both those classes were very confusing to me, as well as this class. I have a hard time following along in class without slides or notes and only following the book. The structure can be a bit confusing at times as well, because there is no slides or anything really specific. I also have a hard time understanding the assignments, it can be hard to understand what exactly I'm supposed to do and how I should go about doing it. Overall I'm just confused.   I don't have anything specific on my wishlist, but I'm hoping to just get through the class with as much clarity as possible and get a decent grade."
am156	"The good: I appreciate how much freedom we have with our assignments and that we don't have exams.   the bad: I sometimes struggle with the transcription part of our video, and sometimes class seems to drag on, repeating the same material throughout the duration of the class.   wishlist: I wish we didn't have to upload our video to the internet, where it will live forever.   I like the direct aspect of what the class entails; however, I wish it followed its direct structure and did not elongate the class because of repetition."
mccar169	"The good: I really appreciate how normalized AI is in the course. Some other teachers try to sweep it under the rug and keep the same practices that they are used too. But the truth is AI is our future and getting used to it in our college classes is a perfect place to start, in my opinion. I also enjoy that you record your classes and allow for those who miss them to watch them and still make up missed class time.  The bad: Honestly nothing really comes to mind immediately. Maybe I would say how often there are assignments due, but that could just be because I am a senior now and my schedule really lightened up so your class just appears to have more work than my other ones.  Wish List: A new car ! I just kidding I really do not have anything to add."
mcnama34	I would like to start of by saying I am enjoying the course so far. The AI integration is extremely interesting to me and I fully agree that it is the future. I feel I have a lot to learn from this class. I will say it did throw me off a bit in the beginning because the course was not quite what I was expecting. I'm not really sure if there is any change to make to this and it is most likely my fault for not knowing.
fmenende	"The good   I really like how the class is teaching the financial basics and how we can use AI to potent our financial skills and knowledge to keep improving and create stuff that willl helps us a lot in our future.   Learning how to decide if a project is a good idea (NPV) feels like a real skill I can use.   The topics connect well, so what we learned last week helps with what we're doing now.   the bad Sometimes the amount of new information feels like a lot to keep up with.    Feedback I hope we get to continue looking at real companies and apply these ideas to them and I am looking forward to connecting all these concepts together as the class continues."
pmeshra	"The Good: I really like how the professor has embraced AI and made it a part of the class. It makes the learning feel very future oriented and relevant. The fact that he's teaching from his own book adds a personal touch, and the class feels well-structured with clear expectations. That makes it easy to follow and enjoyable.   The Bad: Honestly, I don't really see anything bad about the course.   The Wish List: I don't have a wish list right now. The class already feels complete and engaging as it is.   Feedback in My Own Words: I'm genuinely enjoying this class. It's engaging, clear, and I feel like I'm learning in a way that prepares me for the future. I really appreciate the effort the professor puts into making the class meaningful."
mitra69	"I like that we focus on AI integration with our finance/accounting concepts, and the video homework helps me understand the content better because it's like I am teaching someone else. I wish that we could have more group projects for some of the assignments."
montg126	"This course is very interesting to me. I believe that learning how to prompt ai is very important because we as a society are starting to incorporate ai in all of our life aspects. I also am a finance major so learning topics such as time value money, the different financial statements, as well as different valuations are very important to me and my future from a professional standpoint. Moving forward, I hope to learn more about personal finance and how to proceed forward with the apps we are making. In project one, I really enjoyed creating using ai and want to learn the next steps that are possible in publishing apps. I also wish we had more direction in our assignments. Reading the textbooks, we have an idea of what the assignments consist of however, don't necessarily know what our submissions should look like."
jmorenom	"I've really enjoyed this finance class. I like that we're not just learning concepts, but also how to apply them in real life. The lessons make it easier to understand how finance works in everyday situations, like budgeting, managing credit, and planning for the future. I also appreciate how the course breaks things down in a clear way, so even complicated topics feel easier to grasp. Learning about financial decision-making and how to use these tools in our personal lives or careers has been especially helpful. Overall, it's a practical and engaging course that teaches useful skills I can actually apply."
gmultan	"This course is good, I'm starting to get more interested in it as we go by. I like how the professor speaks on things we will need in the future"
jmunkhol	"What I like about this course is that it kind of allows you to learn the topics in your own way by the help of ai, because the prompts you enter are personalied to what you want to get out of them. I also like the way we do assignments because I feel like it has actually forced me to understand the material in a great way. sometimes this class can feel a little disorganized or just confusing but not too bad at all, some of the tecnical submission parts were hard at the start. Some things i wish is that the assignments weren't so hard to submit aka a long processes and that the assignments were more standardized with the due dates not moving. Other then that though this class has been very useful and i have enjoyed it!"
mmunkhol	"The good: I like the interactive way of instructing that you do in class, I think it helps people be engaged and increases our learning.   The bad: I guess sometimes the assignment instructions are a little hard to find or understand, so that can get a little confusing.   Wish List: Improve my understanding of financial management, continue to get assignments done on time, and to just have resources at my hand to be able to problem solve.    My overall feedback is to just make the assignments more clear, but other than that I feel like the class is going really good!"
myers542	"The course lacks a clear structure, and the teacher often rambles, making it difficult to follow what's being said. It's especially confusing that the teacher said he isn't teaching finance or management, but rather AI and coding. The entire course feels poorly designed, and having to present on topics you don't fully understand is not a good learning method."
navarr87	"I really enjoy how interactive the professor is. In each class session, he makes sure to ask multiple students sitting in multiple locations for their opinions or answers to questions regarding the topic. I also like how we are interacting with other students when doing the session readings and discussing questions from the concepts taught.    My wish list for this course is for the professor to clearly explain the session assignments or mini projects. I understand that the instructions are in the book, but I feel like it would be useful for students who are forgetful if those assignments were mentioned in the lecture more often.   My overall feedback is that I extremely enjoy the design and structure of this class because of how AI-oriented it is, which is very good because AI is the future. I would additionally just give feedback by giving a further emphasis on the explanation of the weekly assignments during lecture; however, I am enjoying the course overall thus far."
ng216	"It's okay. I would wish for Professor Zhang can be more clear and specific on the topic we are learning because sometimes it can be confusing. However, I love the passion and effort from Professor Zhang."
nicho307	"I've enjoyed this course and its approach so far! It is definitely unique to any other classes I have taken at Purdue. One thing I wish was improved is that while I do appreciate the assignment feedback, it's hard to tell what exactly resulted in points off. I can't recognize the difference between tips for future projects as we get more involved in coding and make more complex things versus things that I should have improved on my submission. Also, the syllabus says that each assignment is 100 points, but they are 102 points in Brightspace (not sure if this really matters). But overall, I have enjoyed this course so far and all the technical applications and I feel it has improved my approach to using AI."
oros0	"I enjoy how you incorporate ai into your course. You are one of the only professors that understands that AI will eventually take over and we have to learn how to deal with it in an efficient and effective manner. I think understanding your explanation on things is a little hard but overall, you have a great personality, and I enjoy coming to class."
oros0	"U do a really good job interacting with the class. I feel like the lectures are a little broad sometimes, but overall, its going well"
spaguia	"I like how you teach us how to use open AI sources and have introduced me to new AI platforms I would not have known otherwise. I do like the assignments because I feel like they are truly prepping me for my future career as a financial analyst, having to explain/interpret code for others that may not quite understand.   I like that the class is interactive, but I do not think that cold calling people is the best solution sometimes. Or if you do cold call people it is sometimes discouraging when you flat out tell them their answers are bad, instead I think you can help navigate them to the correct response. I think this will truly help with class participation as well.    My wish list would be maybe how to integrate exactly when and how we would use the situations and problems in the real world, I think it is important to understand the  why behind what we are doing."
cjparmer	Most everything is good. I wish there was more explanation on the assignment and what you are looking for.
parrettj	"The good, I really enjoy the structure of the class. I learn best by teaching others and making a video explaining my work helps me learn. I also enjoy the AI integration in the class. Especially in the Finance world, this is a very useful skill to learn.    The bad, I wish the objectives for each class was more clear. It can be hard to follow what we are discussing although the textbook does help.   I wish to learn more about Asset Building. I am not sure if that is involved in the class, but if it is I would be very happy to learn how to leverage assets.    The class structure is one of my favorites of all my classes, but I wish the objectives were clearer for class."
dpasupu	"I really enjoy that we are learning the material through projects rather than traditional lectures and exams. I find this style of class very engaging.   One thing I would appreciate is having a bit more structure in the conceptual learning and daily schedule so it feels more predictable. For example, starting the week (Monday/Tuesday) with key concepts and definitions, and then moving toward applying them in real-world contexts by Friday.   It would also be helpful to receive some in-class guidance on how to go deeper in our analysis. On my driver assignments, I often get feedback that I could provide more in-depth analysis, so tips or examples on how to strengthen this skill would be very valuable."
dpasupu	"My learning partner was Sri. In today's class, we had a discussion about TMV, as well as its real world applications. During our independant work time, we discussed web applications and app deployment in relation to the Mini Project 1. Overall, I had a good week academically, and I hope to gain a deeper understanding of stock valuation into next week."
pate2233	"I really like the structure of the course. It is much different from the traditional course layout and makes the course a lot more interesting. Right now, there are a lot of different AI's being launched and we should use them to our advantage to make our lives easier by helping us understand stuff better and faster. This course does just that.   The wish list would probably be allow a day (Monday) to let the students read the textbook and answer questions with their learning partner. Then on Wednesday, to answer any questions that the students have and ask questions to the students to check their understanding. Then on Friday, do an activity to check their knowledge and make sure the students are actually learning the material and answer/ask questions during the class period as well."
pate2347	"The conent of the course seems very interesting, the lectures in class can be a bit confusing , the assignments are sometimes hard to understand. However, The implemention of AI in the class is exciting as we move into a more AI driven world"
patil173	"The good- I really the way the professor has framed the class with explaining and letting us do a lot of practical learning and not just read from a textbook and memorise it. I think we learn better with practical learning.    The bad- So far the course is going really well for me, I would just say I find it pretty confusing doing the assignments and project since the professor explains very less of what we are supposed to do.   The wish list- Echoing the above point, I would love to see the professor explaining the assignments in a elaborate way to complete the assignments.    The feedback in my own word- Overall, I really like the course and the way it's set up since it makes it really useful to learn he concepts the professor wants to teach. I also like the fact that he decided to incorporate AI tools in our class since as the world develops in terms of technology, the students should be taught how to work with them in future."
jpatinoj	"I like the class and collaboration. One thing that could be approved is the clearness of instructions on assignments, some of the requirements can be confusing."
patte269	I liked how the practice exam was very similar to the actually one. No real complaints.
mpellet	"- I really like how the professor gives us feedback directly on our homework. It makes the class feel personable and makes me want to try my best in his class. - Sometimes I lack understanding of concepts in class however, the online textbook and the use of Ai always guide me in the right direction - I love that you integrate Ai because I think it is the future. Some of my non businesses classes are very against it however I think it is a very powerful tool when used correctly."
perezcj	1. This class has been very informative on prompting artificial intelligence as well as requiring high levels of problem solving. Another good part of this class is how involved the projects are. One bad thing is I feel that AI is doing all the teaching and that sometimes we are stuck on a simple topic for too long. 2. I wish this class had some more group work aside from the peer learning activities.  3. Overall this class has been enjoyable and I have been developing lots of new skills and critical thinking skills. I feel like this class will definitely be beneficial especially with AI developing so rapidly.
cpiekars	"MGMT 310 has been a great course so far offering real world situations and problems that you may have to deal with when you have a job. I like how you are able to be creative and use AI to your benefit as most classes teach you to not use it. I see it as a very helpful tool when it comes to not only learning, but also problem-solving in the real world. I also like how the class is interactive by doing partner activities in class and being able to talk to other people about problems. I like this because that way we both can combine our ideas together to make the best outcomes. The only thing I am not a huge fan of in this course is being called on randomly as I feel that if I do have something to say I will advocate for myself by raising my hand. Other than that I feel that this course is very good and it feels as though it actually prepares you for real world issues."
spinnam	Hi there! I wish class was constructed in more of a direct manner. Maybe we would be talking about the topic for each class and then do practice problems. Or try and figure out whats the finanicial part of the lesson and then the AI part of the lesson.
gcpittma	"I think the course is beneficial in the financial world. I have trouble understanding the importance of using AI and coding to learn and carry out the financial management aspects. I feel as though the course isn't so much about learning financial management concepts as it is learning how to use AI to do these concepts for you. I enjoy learning how to be financially intelligent, and I believe the class is teaching me how to use AI to become financially literate. The class has definitely helped me better use AI as a resource, especially through the implementation of the DRIVER concept. I sometimes find myself struggling to realize how the course relates to my Construction Management major and why it's required."
jpolacki	"I have really enjoyed the example problems and real world situations we cover in lecture and in class. I wish that class had had more of a ""got it"" moment during lectures. I often walk away from class confused on what the point of what we just talked about and learned was."
powel281	"I have so far enjoyed mgmt 310, Financial management, with Prof. Zhang. I think it is interesting that he has his own textbook that he implemented his own projects. I enjoy how the class is all projects rather than exams. For the future, I wish that the assignments that we are assigned to work on for that week would be explained much better. I know some students in the past were confused on where to find the assignment to work on and how to complete it for full points."
sprabhug	"- Explanations and teacher examples really help and allow me to finish my audio recordings quickly and efficiently. And the use of Ai, and being able to see its efficiency, really helps me complete my assignments - Nothing really is bad about the course, just the instructions at times could be unclear, and the use of kaltura is a pain as sometimes it works and sometimes it doesn't, but Mr.Zhangs flexibility on using other software is great . - I would keep the same things in place, but really just find a different recording software as kaltura is unreliable and half the time does not work"
apumphre	"So far, I feel like the course has been going well. I like that we discuss with our peers, and the assignments are very clear about what we have to complete. I don't really like being randomly called on, but I understand that it helps with group discussions. Overall, I am enjoying this class."
rathod3	"I think this class is very good and educational and I think so far within the first couple of weeks I have learned a lot. I have learned more about what finance is overall and I think this class will teach me many new things. For example currently I am learning how to use AI to write me Python code to figure financial stuff out. I think that I don't really have any wish list for this course as it is already really good and everything is in detail in his book and explains the topics very well. Overall, I am enjoying this class so far and I believe that I will learn a lot from this class and use this knowledge in my future jobs as well."
aritten	The class makes sense to me mostly. I sometimes get confused about what our goal is in some classes and what we are trying to learn and master. Assignments are also sometimes very confusing as to what exactly is expected of us.  I very much enjoyed the day when we took Walmart stock and put a value on it.
robbin55	"I think that this course is set up right like with talking with our peers to go through problems, but i do think that we would benefit from more instruction from the professor. Other than that i think the course is set up good"
jsaarnio	"So far I think that the class has been very good. I like how everything is organized, and it is easy to follow and know what is due when. Communication has been very good as well and I have never really been left wondering what it is going on. I don't really have any suggestions and I hope the rest of the semester continues to go well."
saini52	This course is designed amazingly! I love the textbook and how the lesson directly correlates with what we need to do for our assignments. Professor Z. is funny and makes the lessons more enjoyable with his humor. Would not ask for anything different.
kfsales	"The course is well organized and I appreciate the step-by-step structure of each module. It makes it easy to follow along, and it also make it easier to review concepts that I may have not understood during the class period. The real world examples helped connect the financial concepts to examples that felt practical. Unlike other courses, this allows me to be more engaged with the material as I see my self using this information right now to aid me in being more financially literate. Overall, the simplistic structure of the course makes it easy to follow along, stay engaged, and review course materials.    On the other hand, since this class is scheduled later in the day, it can sometimes be hard to stay fully focused during the lesson. I understand this is outside of your control, but it is something I would place on my wish list.    Overall, I do not have any negative complaints about this course. Besides the time the class is set begin, the class is very well structured."
ksandwel	the class has been very confusing so far. lectures. often feel unorganized and hard to follow along. I would want more structure and easier to understand information in the future .
mwsantan	The Good that this class does is that it encourages me to work together with my classmates which is something I've never been the biggest fan of...but them helping me out has honestly been a great help in terms of understanding the topics in class.   Nothing really bad to say.   The Wishlist is to sometimes make the class end earlier due to it's very late ending.   Overall I believe that this class has started off great and I wish to continue in this trajectory.
dscheel	The good is I have learned a lot of new things and new skills using AI. The bad is the class feels kind of rushed and not connected well.
kschmel	"I like the more technical applications with AI. This is a very unique part of this class and I feel like I'm developing a valuable skill. However, I would like to see more instruction and teaching of the financial management material rather than relying on AI to learn. While I appreciate the open ended prompts for the homework, I feel like having a bit more structure to the lectures (provide more examples rather than one very very simple example before jumping into the complex homework prompt) would help lead to a more thorough understanding of content for the homework creation. Overall, I think the concepts and the overarching structure is a good start, but the execution and in class conversations are a bit lacking in depth."
cschmons	"I think this course is well laid out. I do wish the syllabus had more of a day-to-day schedule, but I can still see the weekly objectives, which helps. Overall, this course helps us adapt to AI and still learn financial management and how to tackle certain frameworks."
lschrand	I wish we had more of a detailed explanation for homework assignments as they have been ambiguous.   I have enjoyed the content and believe I am learning how to learn while utilizing the tools of our modern age in this class. Thank you.
schro187	"I like that this class focuses on getting us acclimated to AI. I also like the format of the weekly video assignments rather than the typical exam setup. However, I feel that the class could benefit from further organization and clarity in the lectures. There are times in class where I am unsure what I should be working on because of unclear communication. I also wish that there was more teaching from the professor rather than Google Gemini teaching us all of these complex finance topics."
schro187	"I enjoy that this class is getting us acclimated to AI. However, I wish there was a bit more structure to the lectures. It feels like often much of the class is confused at what we should be doing when we break into discussion time. A little bit more clarity in the instructions would go a long way."
fsegurav	"I like the concepts, and although it took me a while to get used to it I have started to appreciate the AI influence and DRIVER method centric education. I think when explaining more general financial concepts it could be helpful to have more clear definitions and concepts since this is the first time some of us are being introduced to these concepts that might seem obvious. Maybe use real world applications and your professional experience to show us how they are applied in real life."
seitz23	"Good: -Textbook Clarity -Professor wants us to succeed   Bad: -Class structure needs more clarity at the beginning of the semester -Need better clarity on certain variables in written out equations    Wish List: Refer to ""Bad""   So far, I feel like the course has definitely become a lot more clear in what is being asked of me as a student. I like how the class is formatted compared to all of my other classes as well. I definitely prefer the weekly assignments and projects over the exam prep. However, I do believe an argument could be made that discussing in person what success looks like for the weekly assignments and being in the class as a whole could benefit some students."
tsharat	"I really like the amount of integration of AI into this course. As professionals we need to know how and when to corporate AI into our work, this course really gives us a chance unlike many other classes where we are discouraged to use AI. I wish there was a little more structure with the classes because sometimes i go home a little confused about what we learned in class that day and how it all connects."
shongc	"The good: I like how the course is structured on video-based weekly submissions. It also helps us use AI to its utmost capability in making financial analyses work through code. I think that it's helpful learning when you are explaining it through a screen on how and what you did to get this result.    The bad: During the first two weeks of school, I was a bit confused and wasn't completely sure this course sat right with me because I had no idea what was going on. However, as classes went on, step-by-step guides and example prompts learned in class helped me better understand how to do the assignments. I think it'd have helped if we've gotten access to make videos through kaltura or whatever online website device to record our screen and show our face with captions earlier on or when we were first able to view the class materials in general.   Overall, I am enjoying this class and can't wait to learn more on how to use python on gemini to excel my thinking for financial management."
sshuman	Sometimes it becomes hard to stay on track with the information being provided since so much of it is AI based.
nsikorsk	"I enjoy making videos explaining how the concepts work as it makes you have to learn all the material thoroughly.  It is an interesting way of learning that is more valuable than giving exams where students just memorize all the topics and regurgitate them.  My only criticism is that the lessons can be sometimes challenging because the end goal is not explained in the beginning of the lecture.  The lessons lead up to an end which eventually makes sense but it would be nice to know at the beginning of class, the objective of a particular unit or lecture.  Overall, I am extremely pleased with the unique style of this class and like the sense of humor the professor presents in class."
hsilenri	"- Classes have been very engaging and entertaining. Working with peers inside the class also helps in the learning process. Assignment feedback has also been very detailed.    - Explanation of the core concepts and formulas are good but would like them to be a more detailed as some concepts/formulas are more complex and harder to understand than others.    - Overall a very enjoyable and interesting class, and right now there isn't anything bad about the course."
sing1099	"The best part of this course is the free textbook which has a clean, easy to use interface and makes studying straightforward. The biggest drawback is the video requirement for assignments. Having to appear on camera makes the process unnecessarily hard and time consuming. I've tried using Loom but its free trial runs out every two weeks and Kaltura is clunky and frustrating. I wish there were a simpler, completely free way to submit videos, ideally just a YouTube upload with voice narration only so we could focus on the content instead of wrestling with recording software."
skinne36	"1. One thing I really like about the class is the the fact that AI is embraced as a tool and the structure is learning how to use it as a tool rather than a replacement. I also like the video structure of assignments as it allows us to show our thinking and the work at the same time.   2. One thing that could be slightly better is that the assignments seem a little ambiguous at times and it can be hard to figure out what to actually do in the start. However, it is a good problem task and allows students to show their own unique perspective rather then just copy a template."
sleethe	"I think this course has been very useful we have learned how to use various websites for coding, the only downside is that I find coding very boring. I think by the end I will like it more."
sleethe	"The good is that we are learning how to use Driver to code and produce them. The bad is that the assignment details are very confusing, and I still haven't received any feedback about the assignment I submitted incorrectly. I just received a zero, which I think is unfair, because I'm not sure what to fix. I hope to be able to figure out more about this assignment so i can get some credit."
esleeth	"This class has been rewarding but also challenging to me. By having to explain these videos I have learned more about some key concepts like present and future value, compound interest and more key terms. Using Driver framework has made it easier to stay organized and all of these experiences has built in some confidence in financial terms.  The only bad is that it takes me a little to understand the code and it takes a long time getting everything ran. Alot of times I had a difficult time submitting because my face wasn't in it or I couldn't download the video to YouTube. Overall, I like this class and how it is introducing us to AI which will help us in the future. Only thing that I wished was that it somehow correlated to the Construction Industry."
snyde325	"I like how we integrate AI into the course because we have this tool that we will be using in the real world. So I'm happy that we are learning to use it ethically and for good. I also like how you provide very detailed comments/feedback on our assignments. This allows us to see where we can improve for the next session assignment. Something I don't like is cold calling during class. I personally just get really anxious about it, even though I am paying attention, and I would raise my hand if I knew the answer. I understand it is to make sure that people are engaged, but I personally don't like it. I like how we get to collaborate with our peers during class. This time to communicate helps make the class more engaging, and it's nice to talk through problems that I may not know the answer to or much about the topic."
solomo24	I enjoy the amount of time we have to experiment with AI on our own. I have learned how to ask direct questions to find out answers in a way that would be useful.    I am struggling to understand the assignments and what we are doing for them.    Wish list- walk through the assignments more and give us more direct outlines of what we need to be including in our videos. Especially for the projects.     I enjoy learning how to use new AI platforms as this was not something that I have had experimented with before since most professors are against AI. I think there could be an improvement in the explanation of graded assignments.
spring48	I think the course is really interesting when using AI to help us work through problems. Using the DRIVER framework is also really fun to use because it makes me think beyond the simple solution to some of these equations. Developing the solution and expanding on what I could have done different. I think maybe explaining some of the homework problems a little more could be useful for the students but besides that the class is really interesting.
tsquire	"- The course is good at showing you how much AI can really do. The assignments are tough at first but you get used to them. The Mini projects are confusing so far but that may change.   - Better Mini Project Explanations   - Overall, I love the course so far and the work load is nothing terrible, it can be hard sometimes but I have gotten used to it. The mini projects seem hard so far but that may change. I like the attendance of working with others."
sriva154	"I think that this course is actually very interesting. When we started this course, I was a bit afraid when it said that we will use python and code, because I've never been that good at coding and don't know much. But I'm glad that we get so much help when we code. Another thing is that the DRIVER's framework is actually a very helpful framework. I'm also really glad that we have class recordings for days if we miss class accidentally or even just to go back and listen if we missed anything in class. Overall, I think that this is a very well thought out and planned course! We have sufficient time to complete all the assignments, and plenty of help if needed!"
jmstaton	"The good would be how the professor not only provides us with the textbook instead of making us pay, but the textbook is actually written by the professor which makes the transition between the course content and the textbook quite seamless. The bad would be that in my opinion the content of this class doesn't seem relevant to my major or helping me learn anything that would benefit my specific role in my career."
asumpter	"My honest feedback of this course currently is that I have a lack of confidence in my understanding of the material.  I feel as though I am creating material without understanding then asking a generator to teach me what I just created so that I can go through and check the math that was created.    Wish list:  - If you want us to validate the work then have us do the problem by hand on our own, slowly - If you want us to understand the terms the teach the interactive terms, slowly   * OR tell us the reading material ahead of time to allow us to prepare so we aren't overwhelm/lost coming into class   I can't keep up with the questions being asked in the class and just wait till the end of class so that I can go back through my notes to hope I caught it all."
surapan2	"The good: The implementation of AI The bad: Not clear schedule of what we will do in class    I like assignment setup, just wish what we are learning/going to learn everyday is clear.   I think it would be beneficial for students to have more lessons in the beginning of class, then collaboration/discussion later. I do think on brightspace or syllabus, it should be stated what sections we will master in a days class (like section 2 and 3 in session 3)."
swannr	the class is really interesting but some times I get confused on the importance and what's not important as well as how all the lessons connect so a little bit more clarification on this would be nice. outside of that the class is very interesting and engaging.
lbthang	"Good: Instructor gives good feedbacks for the assignments which helped me notice what I need to work on.    Bad: Sometimes not understanding on certain part of the assignments.    Wish: I wish that there was examples of what our work should look like.   Feedback: Overall, I found this class to be very positive and valuable learning experience. The instructor's expertise and the relevance of the curriculum were definite highlights."
thorpe11	I have enjoyed the course thus far. I like walking through everything together in class because it makes it easier to follow along. I also like when the class is engaged in the lectures because I think it makes it easier to understand. I like the structure of the textbook because there are specific parts dedicated to student discussion to ensure that we are learning. The only things that are confusing for me are the equations we are beginning to encounter with stock valuation.
irtimmer	"MGMT 310 has been a very helpful course so far this semester. As an actuarial student, the topics that we have covered are very familiar, but the ways that we are applying them are very unique, specifically within the Session Assignments and utilizing AI. The session assignments are very interesting in helpful. Explaining my ideas and how I applied them is a very good method for retaining and understanding the topics that we have discussed in class. I also appreciate the time in class that we get to discuss with our classmates. This is helped share and get feedback on ideas. All in all, the course has been very good overall. I don't have any complaints towards the structure or the professor."
ctirador	"This course has great material and useful skills that we will use in the future. Since this class is focused on AI, it will help us prepare for the use of AI in the workplace. Something I wish to do in this class is to continue to work with my peers and refine my skills in the use of DRIVER. I think this class will be useful not only right now in college, but in the future when companies develop ways to use AI in the workplace."
htobias	"I've been enjoying this course so far, especially the topics we've been covering. I like the fact that we use AI tools, as I believe learning to leverage them will be a significant advantage in our future careers. I also find the emphasis on individual assignments over exams to be an effective way to engage with the material.   One small suggestion that could improve the in-class discussions for me is to clearly state the objective at the very beginning of each example. Sometimes, I find it a bit challenging to follow the purpose of each step when I'm not yet sure of the final goal. For instance, if we're working through a scenario, stating upfront what we're trying to solve for would really help me connect all the pieces as we go.   Lastly, I greatly appreciate the professor's flexibility and understanding, specifically his willingness to adapt to the technical difficulties at the start of the semester and adjust due dates when needed. This has been very helpful!   Overall, I think the class is off to a good start, and I am looking forward to the rest of the semester!"
